ID,sentence,speaker
OOD_HIN_0001,"इथिओपिया,मरप्पातिल्लई,एनओसी,मुज़फ़्फ़र",female_1
OOD_HIN_0002,"एमओइएस,किंगफिशर,एक्शनओरिएंटेड,सीजीएचएस,केरलई",female_1
OOD_HIN_0003,"ओइडेंस,मौतवौत,यूएफओ,वौइस्,डीएसएलआर",female_1
OOD_HIN_0004,"पीओएस,ऐटलांटिक,षट्कम,एफआईआर,मुस्तौफ़ी",female_1
OOD_HIN_0005,"ओथिरुम,छगनलाल,एचएबी,लेओगे,ऑगमेंटेड",female_1
OOD_HIN_0006,"ओशीमा,एईसीआई,ऐजेंसियों,एनएसओ,रईसों",female_1
OOD_HIN_0007,"ऐमस्टरडैम,हाईडेफिनिशन,कोऑपरेटिव,मिडफ़ील्डर,गॉथिक",female_1
OOD_HIN_0008,"डिओडोरेंट,प्रजातिओं,ऑर्डर,माउसओवर,केएनओ",female_1
OOD_HIN_0009,"औनेपौने,ऑॅप्टिकल,सौफ्ट,डीएसीएंडएफडब्ल्यू,स्काईडाइविंग",female_1
OOD_HIN_0010,"आईआईटी,आफ़्टर,हेराक्लिओन,गगौघः,षट्कोणी",female_1
OOD_HIN_0011,"रौघाट,स्लॉथ,बकरईद,कार्रवाईयाॅं",female_1
OOD_HIN_0012,"डब्ल्यूडब्ल्यूएफ,केआईआईटी,राजीबपुर,एफआईडीई,ऑॅपरेशन",female_1
OOD_HIN_0013,"नियोएडजुवेँट,डब्ल्यूएफपी,अर्धद्रव्य,हेल्पऐज",female_1
OOD_HIN_0014,"स्पॉटज़ीरो,षट्कोणीय,ओएटकर,आईख़ानोम,प्रीबोटज़िन्गेर",female_1
OOD_HIN_0015,"एफएटीएफ,चॉकबोर्ड,फॉलोऑन,स्विटज़रलैंड",female_1
OOD_HIN_0016,"गुणलाभ,क्लॅमन्सू,पौधों, बप्पी,डिब्रूसैखोवा",female_1
OOD_HIN_0017,"कैम्ब्रिजशायर,आरआईई,टीओआर,बप्पा,एसओपीए",female_1
OOD_HIN_0018,"डाइऐस्पोरा,ऍफ़आइडीई,आफ़ताब,एफआरओ,छुईखँच",female_1
OOD_HIN_0019,"ऐडजस्ट,एलईडी,डाॅक्यूमेंट,अल-आलम",female_1
OOD_HIN_0020,"वनआर्गेनिक,स्टडी,राजश्री,एएफपी",female_1
OOD_HIN_0021,"एपीवाईखाते,मुज़फ़्फ़रपुर,ओडिशा,वर्कआउट,ओशिनिया",female_1
OOD_HIN_0022,"पातिरामणल,हैगफिश,स्टार्टअप,एमआरआईसुविधा,ऑगमेंटिंग",female_1
OOD_HIN_0023,"आरओआरओ,डज़ुलुक,इथैनोल,बाणलिंगों",female_1
OOD_HIN_0024,"वायएनओटी,नईऊर्जा,स्वच्छगृही,लॅप्रोसी",female_1
OOD_HIN_0025,"यूएसओसी,चेकआउट,टीएनएचएसपी,सौफ्टवेयर,स्टार्टअप्स",female_1
OOD_HIN_0026,"रसोइये,एनएचए,एओपीवी,हॅप्पिलो,मुजफ्फरगढ़",female_1
OOD_HIN_0027,"गुडडाइऐट,फ़आईडीई,मॅप्स,सिंधदुर्ग,खौफ़नाक",female_1
OOD_HIN_0028,"जेडएमएस,ओइस्ट्रेहम,ऑगस्ट,आरईआईटी,क्लॉथ्स",female_1
OOD_HIN_0029,"साइथिया,क्रेओल,ज़ैनउलआबिदीन,इंडोऑस्ट्रेलियाई,आईसीएओ",female_1
OOD_HIN_0030,"बृहस्पति,चॉकलेट,प्रीबोटज़िन्गेरकाम्प्लेक्स,बृहदीश्वर,फॅमिलीज",female_1
OOD_HIN_0031,"रट्छगन,मेगावौट,चद्दरों,ऑरलैंडो,ऑयब्रो",female_1
OOD_HIN_0032,"एआईसीटीई,हेडफ़ोन,स्वच्छग्रह,ओडोमॉस,रैखिक",female_1
OOD_HIN_0033,"मेघालय,ट्राइथलॉन,हॅलोजेन,ऑयस्टर,आईआरसीटीसी",female_1
OOD_HIN_0034,"अल-आलमगीर,पौंडएकड़,वेस्टइंडीज़,रैखिकरण,एआईडब्ल्यूसी",female_1
OOD_HIN_0035,"जीएईडी,अर्धदग्ध,जिओथर्मल,ओनर्स,सचदेव",female_1
OOD_HIN_0036,"ज़िओफ़ीट,ओथ्था,ओथेनटीकेशन,पीओइईएम,आईआईएफए",female_1
OOD_HIN_0037,"रोलऑफ,बिल्टइन,इकोनाॅमिक,अर्धदंड,एनज़ेडडीटी",female_1
OOD_HIN_0038,"मल्टीपलऑर्गेन,एनओएए,एफओआईए,वौद्धिक,थोंडामंथुरई",female_1
OOD_HIN_0039,"मुफ़्त,फैमिली ,ओडीआई,ऐटकेन,जीओआई",female_1
OOD_HIN_0040,"मूँगफली,एईएफआई,आईलाइनर,थाईलैंड,काॅम्बिनेशन",female_1
