ID,sentence,speaker
OOD_TAM_M_0001,"மேலஇலந்தகுளம், கோஒ, கொண்டஆள், ஐஜி, சுண்ணஞ்",male_2
OOD_TAM_M_0002,"ஈண்டி, ஓளவையார், பெருமஇத், காளஹஸ்தியில், நல்லஎன்",male_2
OOD_TAM_M_0003,"ஈஜென்வெக்டரைக், சினஉணர்வு, யேஉயர், ஈமக்கிரியைகள், சாலைஐயர்",male_2
OOD_TAM_M_0004,"இடைஒப்பபிடுதல், வெள்வளைசோரஎன், ஈமச்சடங்குகள், நபர்களைஉருவாக்குகிறது, டஉள்ளன",male_2
OOD_TAM_M_0005,"க்யுஆர், ளழித்த, ஓஜாவின், களஅலுவலகங்களுக்கு, வெற்றியாஅளர்",male_2
OOD_TAM_M_0006,"கேஇடி, மனழுத்தம், உலகப்போா், மஅபர், சிடிஇஐசி",male_2
OOD_TAM_M_0007," பிஞ்ஞகரே, செயல்படுத்தப்படஉள்ளது, நீளஅகலம், துமைஏலம், ஒருஒருத்தங்க",male_2
OOD_TAM_M_0008,"கொண்டாட்டத்‌தை, ஐஓஎஸ்லயே,, ​​முதன்மையான, அஃப்பன்ஸ், ஐஐஎஸ்ஈஆர்",male_2
OOD_TAM_M_0009,"ஃபேஸ்‌புக்கு, ஐஓஸ்ஸில், தழீஇயது, கொஷின், ஏஐலாம்",male_2
OOD_TAM_M_0010,"மீ்ண்டும், மாரஃபத், ப்ரொனௌன்சேஷன், ரீபஃன்ட், கொஷினுக்கே",male_2
OOD_TAM_M_0011,"தலைவற்குஓர், இதழயில், ஒளிமின்னழுத்தத்தில், சவால்களைஎதிர்கொள்ள, உலகஅளவில்",male_2
OOD_TAM_M_0012,"பயோஎனெர்ஜியின், தியோஅமைடுகளைப், இ்நதியாவில், ப்ரோஐஸ்ட்ரோன், சிஃஎப்ஆர்ஐ",male_2
OOD_TAM_M_0013,"ஃபஸ்ட்‌டு, ஊசியின்தலை, மனஉணர்வுடனும், என்இஐஎஸ்டி, ஓவர்சீஸ்‌னு",male_2
OOD_TAM_M_0014,"தமிழ்‌நாட்டோட, மீ்ள்சக்தி, ஷட்டில், ளஃதவள், நிதிஉதவியும்",male_2
OOD_TAM_M_0015,"கவசஉடைகள், எழுந்தஇத், ஊசியிலைக்காடுகளிலிருந்து, ஶ்ரீவஸ்தவா, உரையாற்றினா்",male_2
OOD_TAM_M_0016,"ஔங், தஜானியுடன், குலஇறையே, அசிட்டோஐதரினின், க்ஃனாலெட்ஜ்",male_2
OOD_TAM_M_0017,"வேந்தஇத், நவமேஉயர், ​​பார்வையாளர்கள், சட்டஆய்வு, வுறஅருளு",male_2
OOD_TAM_M_0018,"ஆஞ்சநேயர், பொஊ, பெரியஒவ், ஈஇஇ, டெ்ரெஸ்",male_2
OOD_TAM_M_0019,"கட்டப்பட்டுள்ளனஇந்த, பழையஇறை, ஜிம்னோஸ்பொ்ம், ஐஎன்எஸ்ஏசிஓஜி, நுண்ணளவிகள்",male_2
 OOD_TAM_M_0020,"ளழும்பி, ஐஐஎஸ்இஆர், ஊண்டாய், மயிரைழைகள், அஃறிணைப்பாற்",male_2
OOD_TAM_M_0021,"ஏஷாம், டஉள்ளன, மதிப்பீ்ட்டு, காளஹஸ்தீஸ்வரர்சுவாமி, வௌியே",male_2
OOD_TAM_M_0022,"நஹதாவை, நீஎமக், டிஐஜி, தயாராகஉள்ள, பிளண்டர்",male_2
OOD_TAM_M_0023,"தஞ்சாவூர்‌லர்ந்து, இடையஞ்சாவடி, ஷௌரி, ஊங்கு, அசிட்டோஅசெடிக்",male_2
OOD_TAM_M_0024,"ஏஷ்யாநெட், காளஹஸ்தீஸ்வரர், ப்ளஷ், ​​திரிபுராவின், நிலைஆற்றலுக்கு",male_2
OOD_TAM_M_0025,"முஃமின்களில், முயன்றேஒரு, மனழுத்தம், மீ்ள்சக்தி, வாகனஉரிமையாகளர்கள்",male_2
OOD_TAM_M_0026,"அப்போதுஈசுரரை, சப்போட்‌டு, ஔடவ, யஷ்பால், அண்ணண்",male_2
OOD_TAM_M_0027,"மெல்லைஓர், மகிழ்வேஉறைந், லக்னௌவில், கேக்குகளையும்‌, கரிமஉலோகச்",male_2
OOD_TAM_M_0028,"சேஷஸ்ரீவரதம், ஆமாம்ங்‌க, சழக்கனை, நுகரஉள், என்சிஓஇ",male_2
OOD_TAM_M_0029,"வெள்ளணு, ஃபங்‌ஷன்‌ஸ்‌, ஞூறுமறை, திருநங்கைகளும், மண அணி",male_2
OOD_TAM_M_0030,"கொஷினுக்கு, மாநில அரசு, ​​மஹாபீரை, ஊண், டிஏஆர்பிஜி",male_2
OOD_TAM_M_0031,"சஃபாரி, ரீபஃன்ட், துளஅவை, தஜிகிஸ்தானின், இதைவைிட",male_2
OOD_TAM_M_0032,"கண்டுபிடிக்கப்பட்டுள்ள அரியவகை, தீயஆவி, அஃறிணைப்பாற், ஒழிஊன், ப்ரொனௌன்சேஷன்",male_2
