ID,Sentence
OOD_TAM_F_0001,"மாநிலஅரசுகளின், ஐஎஸ்எஃப், எக்ஸ்சேஞ்‌சில், தரஎரி, பிஈ"
OOD_TAM_F_0002,"ஐஆர்இஎல், ‌அப்புறம்‌, வகைஇதனை, மறந்தஎன், கேஎன்ஓ"
OOD_TAM_F_0003,"கிடைக்கவில்லைஇப்பிராந்தியத்தில், சாஞேஷு, ஆதியைஏனை, ஜௌஸ்ஜான்"
OOD_TAM_F_0004,"ஈமச்சடங்கிற்கான, நிா்வகிக்கின்றனா், வாழ்கஎன், என்சிஓஆர்டி, ஆவாா்"
OOD_TAM_F_0005,"சேய்ஞல், வளஆதாரங்களுடன், எனவேஅது, பெரியஇன்பமே, ஏஓஎன்"
OOD_TAM_F_0006,"டிஎம்‌எஸ்‌, தென்அமொிக்காவின், ஷோ்சா, டி‌வி"
OOD_TAM_F_0007,"பீபிஓ, பராயணஹ, வருதுஇல்ல, ஷஃபான்"
OOD_TAM_F_0008,"அறிமுகப்படுத்தஉள்ளோம், பஇஒ, யுஐஐசிஎல், லக்னௌவின், மக்களுக்காக​"
OOD_TAM_F_0009,"மாதத்தோட, ​​வைஸ்ராய், வடஇந்தியாவில், கொடுத்திருந்தது, ஆஅவ்வாத"
OOD_TAM_F_0010,"வணஆடை, உறுப்பினா், ஓழுக்கால், புரோமோபெண்டாஅமீன், நல்லஆண்"
OOD_TAM_F_0011,"அணுப்போாில், ப்ளேஅவுட், மைஆதார், புத்த​, காத்தஅம்மன்"
OOD_TAM_F_0012,"சதவீதம்‌தான்‌, ஊங்குத்தந்தான், இடஒதுக்கீட்டுக்கும், மெல்லஉடல், யூஏபிஏ"
OOD_TAM_F_0013,"வடஅமெரிக்கா, ஆகியவற்றைஇசையமைப்பாளர், பகுதியாகஇது, ஓஎஸ்டி, புறஊதாக்கதிர்"
OOD_TAM_F_0014,"ஏஇபி, ஓளியணுக்கள், ஜாஇ, உடலழகு, உாிமைகள்"
OOD_TAM_F_0015,"ஐஓஏ, கேஎஃப்சியில், மிக்கஒரு, ​​சிறந்த"
